employee_id,date,shift,area_assigned,workload_score,hours_worked,overtime_hours,consecutive_work_days,is_holiday,is_rest_day
EMP_001,2025-09-08,nocturno,destilacion,53.4,8.7,0.0,1,False,False
EMP_001,2025-09-09,diurno,destilacion,49.5,8.5,0.0,2,False,False
EMP_001,2025-09-10,diurno,destilacion,68.7,7.9,0.0,3,False,False
EMP_001,2025-09-11,diurno,destilacion,70.0,8.6,0.0,4,False,False
EMP_001,2025-09-12,nocturno,destilacion,56.1,8.1,0.9,5,False,False
EMP_001,2025-09-13,diurno,destilacion,66.2,0.0,0.0,0,False,True
EMP_001,2025-09-14,vespertino,destilacion,58.8,0.0,0.0,0,False,True
EMP_001,2025-09-15,diurno,destilacion,66.7,8.6,0.5,1,False,False
EMP_001,2025-09-16,nocturno,destilacion,74.5,7.3,0.0,2,True,False
EMP_001,2025-09-17,nocturno,destilacion,62.9,7.7,0.0,3,False,False
EMP_001,2025-09-18,nocturno,destilacion,78.2,7.4,0.3,4,False,False
EMP_001,2025-09-19,diurno,destilacion,78.8,7.9,0.0,5,False,False
EMP_001,2025-09-20,diurno,destilacion,51.4,0.0,0.0,0,False,True
EMP_001,2025-09-21,diurno,destilacion,59.0,0.0,0.0,0,False,True
EMP_001,2025-09-22,diurno,destilacion,72.5,7.8,0.3,1,False,False
EMP_001,2025-09-23,vespertino,destilacion,79.2,7.0,0.0,2,False,False
EMP_001,2025-09-24,diurno,destilacion,78.5,8.4,0.0,3,False,False
EMP_001,2025-09-25,vespertino,destilacion,59.4,7.3,1.1,4,False,False
EMP_001,2025-09-26,vespertino,destilacion,83.5,8.1,0.0,5,False,False
EMP_001,2025-09-27,vespertino,destilacion,77.8,0.0,0.0,0,False,True
EMP_001,2025-09-28,vespertino,destilacion,79.7,0.0,0.0,0,False,True
EMP_001,2025-09-29,nocturno,destilacion,63.8,7.9,1.5,1,False,False
EMP_001,2025-09-30,diurno,destilacion,49.9,7.5,0.9,2,False,False
EMP_001,2025-10-01,nocturno,destilacion,79.4,8.1,0.0,3,False,False
EMP_001,2025-10-02,diurno,destilacion,78.4,7.8,0.0,4,False,False
EMP_001,2025-10-03,diurno,destilacion,63.6,7.2,0.0,5,False,False
EMP_001,2025-10-04,diurno,destilacion,76.3,0.0,0.0,0,False,True
EMP_001,2025-10-05,nocturno,destilacion,69.2,0.0,0.0,0,False,True
EMP_001,2025-10-06,diurno,destilacion,76.2,8.4,0.0,1,False,False
EMP_001,2025-10-07,diurno,destilacion,62.7,8.3,0.0,2,False,False
EMP_001,2025-10-08,vespertino,destilacion,47.3,7.2,0.0,3,False,False
EMP_001,2025-10-09,vespertino,destilacion,55.4,7.5,0.0,4,False,False
EMP_001,2025-10-10,nocturno,destilacion,63.7,8.4,0.0,5,False,False
EMP_001,2025-10-11,nocturno,destilacion,54.7,0.0,0.0,0,False,True
EMP_001,2025-10-12,diurno,destilacion,63.9,0.0,0.0,0,False,True
EMP_001,2025-10-13,diurno,destilacion,43.1,7.6,0.0,1,False,False
EMP_001,2025-10-14,vespertino,destilacion,60.1,8.7,0.0,2,False,False
EMP_001,2025-10-15,vespertino,destilacion,72.5,8.3,0.0,3,False,False
EMP_001,2025-10-16,nocturno,destilacion,65.4,7.2,0.0,4,False,False
EMP_001,2025-10-17,nocturno,destilacion,89.4,7.7,0.0,5,False,False
EMP_001,2025-10-18,diurno,destilacion,51.2,0.0,0.0,0,False,True
EMP_001,2025-10-19,nocturno,destilacion,55.1,0.0,0.0,0,False,True
EMP_001,2025-10-20,diurno,destilacion,63.2,7.7,0.0,1,False,False
EMP_001,2025-10-21,diurno,destilacion,46.9,8.0,0.0,2,False,False
EMP_001,2025-10-22,diurno,destilacion,81.6,8.0,0.0,3,False,False
EMP_001,2025-10-23,vespertino,destilacion,54.2,7.9,0.8,4,False,False
EMP_001,2025-10-24,nocturno,destilacion,62.8,7.9,1.6,5,False,False
EMP_001,2025-10-25,diurno,destilacion,66.6,0.0,0.0,0,False,True
EMP_001,2025-10-26,nocturno,destilacion,53.5,0.0,0.0,0,False,True
EMP_001,2025-10-27,diurno,destilacion,61.7,7.6,0.0,1,False,False
EMP_001,2025-10-28,diurno,destilacion,95.5,8.5,1.3,2,False,False
EMP_001,2025-10-29,nocturno,destilacion,54.5,8.1,0.0,3,False,False
EMP_001,2025-10-30,diurno,destilacion,56.7,8.6,0.0,4,False,False
EMP_001,2025-10-31,diurno,destilacion,74.8,8.0,1.3,5,False,False
EMP_001,2025-11-01,nocturno,destilacion,75.7,0.0,0.0,0,False,True
EMP_001,2025-11-02,vespertino,destilacion,50.6,0.0,0.0,0,False,True
EMP_001,2025-11-03,diurno,destilacion,49.8,8.8,0.0,1,False,False
EMP_001,2025-11-04,nocturno,destilacion,67.2,8.0,0.0,2,False,False
EMP_001,2025-11-05,nocturno,destilacion,72.3,8.3,0.0,3,False,False
EMP_001,2025-11-06,nocturno,destilacion,92.0,7.5,0.0,4,False,False
EMP_001,2025-11-07,diurno,destilacion,48.5,7.2,0.0,5,False,False
EMP_001,2025-11-08,nocturno,destilacion,63.3,0.0,0.0,0,False,True
EMP_001,2025-11-09,diurno,destilacion,90.9,0.0,0.0,0,False,True
EMP_001,2025-11-10,nocturno,destilacion,90.1,7.6,0.0,1,False,False
EMP_001,2025-11-11,nocturno,destilacion,63.1,8.0,0.0,2,False,False
